Lat,Lon,Anisotropie,Unnamed: 3
75.617,-36.64,0.28246,
75.616,-36.633,0.29575,
75.616,-36.626999999999995,0.31284,
75.615,-36.62,0.33705,
75.615,-36.613,0.34658,
75.61399999999999,-36.606,0.35397,
75.61399999999999,-36.6,0.36029,
75.613,-36.593,0.3552,
75.612,-36.586,0.0,
75.612,-36.58,0.0,
75.611,-36.574,0.0,
75.61,-36.567,0.0,
75.609,-36.561,0.0,
75.608,-36.555,0.0,
75.607,-36.549,0.0,
75.60600000000001,-36.543,0.0,
75.605,-36.537,0.0,
75.604,-36.531,0.0,
75.604,-36.525,0.0,
75.60300000000001,-36.519,0.0,
75.602,-36.513000000000005,0.41581999999999997,
75.601,-36.506,0.43633999999999995,
75.6,-36.5,0.42065,
75.59899999999999,-36.494,0.4119,
75.598,-36.488,0.40149,
75.598,-36.482,0.38926,
75.597,-36.476,0.38443,
75.596,-36.47,0.38372,
75.595,-36.464,0.38303000000000004,
75.594,-36.457,0.38142,
75.593,-36.451,0.38142,
75.592,-36.445,0.38233,
75.592,-36.439,0.38413,
75.59100000000001,-36.433,0.38672,
75.59,-36.427,0.38926,
75.589,-36.421,0.3956,
75.58800000000001,-36.414,0.39921999999999996,
75.587,-36.408,0.40486,
75.586,-36.402,0.4122,
75.585,-36.396,0.42668999999999996,
75.584,-36.39,0.0,
75.584,-36.384,0.0,
75.583,-36.378,0.0,
75.582,-36.371,0.0,
75.581,-36.365,0.0,
75.58,-36.359,0.0,
75.579,-36.353,0.0,
75.578,-36.347,0.0,
75.578,-36.341,0.0,
75.577,-36.335,0.0,
75.57600000000001,-36.328,0.0,
75.575,-36.321999999999996,0.0,
75.574,-36.316,0.0,
75.57300000000001,-36.31,0.0,
75.572,-36.304,0.0,
75.572,-36.298,0.0,
75.571,-36.292,0.0,
75.57,-36.286,0.0,
75.569,-36.28,0.0,
75.568,-36.274,0.0,
75.567,-36.266999999999996,0.0,
75.566,-36.260999999999996,0.0,
75.566,-36.255,0.0,
75.565,-36.249,0.0,
75.564,-36.242,0.0,
75.563,-36.236,0.0,
75.562,-36.23,0.0,
75.561,-36.224000000000004,0.0,
75.561,-36.218,0.0,
75.56,-36.211999999999996,0.0,
75.559,-36.205,0.25254,
75.558,-36.199,0.25285,
75.557,-36.193000000000005,0.25253000000000003,
75.556,-36.187,0.25,
75.555,-36.181,0.24928000000000003,
75.554,-36.175,0.25109000000000004,
75.553,-36.169000000000004,0.25072,
75.553,-36.163000000000004,0.24928000000000003,
75.55199999999999,-36.157,0.25035999999999997,
75.551,-36.150999999999996,0.24964,
75.55,-36.145,0.25,
75.54899999999999,-36.139,0.24964,
75.548,-36.132,0.24964,
75.547,-36.126,0.25145,
75.546,-36.12,0.25145,
75.546,-36.114000000000004,0.25129,
75.545,-36.108000000000004,0.25217,
75.544,-36.102,0.25129,
75.543,-36.096,0.25156,
75.542,-36.089,0.2482,
75.541,-36.083,0.24625,
75.541,-36.077,0.24478000000000003,
75.54,-36.071,0.24625,
75.539,-36.065,0.24831999999999999,
75.538,-36.059,0.24891999999999997,
75.53699999999999,-36.053000000000004,0.2444,
75.536,-36.046,0.24258000000000002,
75.535,-36.041,0.24349,
75.53399999999999,-36.035,0.24198000000000003,
75.533,-36.029,0.0,
75.532,-36.023,0.17603,
75.532,-36.016999999999996,0.18578,
75.531,-36.010999999999996,0.18735,
75.53,-36.005,0.20697,
75.529,-35.998000000000005,0.21991999999999998,
75.528,-35.992,0.0,
75.527,-35.986,0.22869,
75.52600000000001,-35.98,0.24673,
75.52600000000001,-35.974000000000004,0.0,
75.525,-35.968,0.0,
75.524,-35.961999999999996,0.0,
75.523,-35.955999999999996,0.0,
75.52199999999999,-35.95,0.0,
75.521,-35.943000000000005,0.0,
75.52,-35.937,0.0,
75.51899999999999,-35.931,0.0,
75.518,-35.925,0.0,
75.518,-35.919000000000004,0.0,
75.517,-35.913000000000004,0.0,
75.516,-35.907,0.0,
75.515,-35.900999999999996,0.0,
75.514,-35.895,0.0,
75.513,-35.889,0.0,
75.512,-35.883,0.0,
75.51100000000001,-35.876,0.0,
75.51100000000001,-35.87,0.0,
75.51,-35.864000000000004,0.0,
75.509,-35.858000000000004,0.0,
75.508,-35.852,0.0,
75.507,-35.846,0.0,
75.506,-35.84,0.0,
75.505,-35.834,0.0,
75.50399999999999,-35.828,0.0,
75.503,-35.821999999999996,0.0,
75.503,-35.816,0.0,
75.502,-35.81,0.0,
